# id network 	 title 
# Community0
905	Evalúan que el plus de fin de año sea de $ 1000 para el sector público
949	El bono de fin de año tensa el diálogo con los gremios
970	El Gobierno baja las expectativas y evita hablar de un bono de fin de año
996	Sube la tensión entre el Gobierno y los sindicatos por el bono
997	Los gremios rechazan cualquier oferta que no sea universal
1012	El Gobierno aspira a neutralizar el paro con el bono y Ganancias
1013	Macri se reunirá con gremios y empresarios al volver de Roma
1028	El bono de fin de año divide a las provincias y complica al Gobierno
1056	La CGT no aceptaría la propuesta oficial y avanzaría hacia el paro
1066	El Gobierno apuesta a evitar el paro sin alterar sus propuestas
1067	Por sugerencia de la Iglesia, la CGT dejaría la medida en suspenso
1083	El Gobierno desactivó el paro con el bono y exenciones en Ganancias
# Community6
36	Macri acordó con Massa analizar la reconversión de los planes sociales
44	El bloque de Cambiemos exige una solución política que no dependa de la Justicia
97	Tarifas: Cambiemos pagó un costo para limitar una ofensiva opositora
98	Un empate con sabor a derrota para Macri
112	Ritondo respaldó a Bressi en la Legislatura
121	El oficialismo cargará contra De Vido para defender a Aranguren
165	Riesgos políticos de la encrucijada energética
177	Aranguren enfrenta una difícil prueba ante la oposición en la Cámara baja
188	Aranguren se cruzó duro con la oposición para defender las subas
189	El peronismo "moderado" se fue con varias preguntas sin respuesta
190	Un mensaje planificado para enfrentar las críticas
192	Un choque entre dos visiones opuestas
213	Diputados opositores criticaron los "vacíos" que dejó Aranguren
250	Danza de nombres para ocupar la Defensoría del Pueblo
304	Los diputados esperan a Peña con una artillería de preguntas
308	Impulsan un aumento del número de diputados para llevarlo a 328
309	Revés para una ampliación presupuestaria
320	Peña admitió una caída del PBI del 1% y prometió cambios en Ganancias
379	El PJ dialoguista endurece su postura en el Congreso
395	El oficialismo en el Congreso busca destrabar leyes clave antes de debatir el Presupuesto
446	Aprueban la ley sobre cambio climático
535	Resistencia sindical a la ley del empleo joven
# Community7
113	Malvinas: Macri y May se reunirán por los vuelos y el petróleo
432	Desafiante, Carrió votó a favor de un proyecto de ley del kirchnerismo
552	El Gobierno confirmó que dialogará con Londres sobre vuelos directos a Malvinas
561	El gobierno de Malvinas avala el regreso de los vuelos directos
630	Malvinas: avance entre la Argentina y Gran Bretaña sobre vuelos y petróleo
667	Malvinas: polémica tras el acuerdo de la Argentina con Londres
690	Malcorra admitió que la cuestión de Malvinas tardará en ser resuelta
696	El acuerdo con Londres plantea dudas a expertos en política exterior
716	Malvinas: Malcorra aceptó ir al Congreso a explicar el acuerdo
730	Una nueva estrategia
732	Malvinas: Macri planteó el reclamo de soberanía a la premier británica
737	Busca el oficialismo acallar la polémica
749	Macri admitió que no hablaron de soberanía con la premier británica
750	Londres debió salir a desmentir los términos de la conversación
751	Una palabra sensible
753	Diputados citó al vicecanciller por el acuerdo con Londres
754	Excluyen a la Argentina de un concurso para viajar a las islas
784	El vicecanciller británico se reunió con los isleños
852	La Cancillería dará explicaciones por el acuerdo con Londres
861	Malvinas: la Cancillería defendió el acuerdo con Londres ante duras críticas
965	Malvinas: Londres insistió en que no debatirá la soberanía
975	En el Senado debió enfrentar duros cuestionamientos por Malvinas
# Community8
28	Cristina aceleró su defensa con una doble maniobra judicial
276	Revelan nuevos lazos con Cristina Kirchner
300	Investigan la compra de la casa de Cristina
313	Cristina cedió bienes a sus hijos tres días después de su procesamiento
315	Los terrenos en El Calafate, vacíos pero estratégicos para el turismo
349	Hubo nexos con Báez en la mitad de los inmuebles de los Kirchner
350	Surgen algunas inconsistencias en las declaraciones juradas
351	Confirman a Bonadio en la causa dólar futuro
403	Allanaron tres escribanías por la causa Los Sauces en Santa Cruz
430	Dólar futuro: quedó definido el tribunal que revisará el procesamiento de Cristina
524	Cristina Kirchner pidió ser sobreseída
562	La UIF pidió inhibir todos los bienes de la sucesión de Néstor Kirchner
594	Cristina rechazó el pedido de la UIF para que inhiban sus bienes
676	La Justicia embargó 1500 casas, barcos y autos en la causa Báez
706	Investigan escrituras de los Kirchner por la cesión de 19 propiedades
798	La UIF pidió mantener embargados los dólares de Florencia Kirchner
832	Cristina debió pedir permiso judicial para viajar a Ecuador
950	Florencia Kirchner cobra $ 57.000 como directora de Los Sauces
1039	Cristina cedió tierras a Báez a cambio de obras en el hotel Los Sauces
1040	Más documentos sobre movimientos en el patrimonio
1061	Denuncian a Cristina por los hoteles
1070	Margarita Stolbizer pide embargar uno de los hoteles de Cristina Kirchner
# Community9
11	Sin respaldo del PJ, Echegaray enfrenta la destitución en la AGN
47	La situación de Cristina acelera la crisis del FPV y el quiebre con el PJ
80	Malestar de intendentes por la foto CFK-Scioli
81	Postergó otra vez el PJ una ruptura del bloque de diputados del FPV
